date,count,observer,source
27/12/2001,X,Database Records (Kenya Birdfinder: 1952-2015),eBird
05/12/2003,X,Mick Greene,eBird
09/03/2004,X,Simon Valle,eBird
29/01/2005,12,Jan Smith,eBird
18/11/2005,14,Frank Brown,eBird
30/11/2006,X,Database Records (Kenya Birdfinder: 1952-2015),eBird
16/11/2009,X,Todd Fellenbaum,eBird
06/01/2011,1,David Orth-Moore,eBird
27/10/2012,X,Peter Steward,eBird
14/11/2013,X,Andrew Fisher,eBird
05/01/2015,17,David Orth-Moore,eBird
12/11/2017,250,Doris Schaule,eBird
24/03/2018,6,David Guarnieri,eBird
26/03/2018,7,David Guarnieri,eBird
12/12/2019,2,Lucy Dadour,eBird
30/01/2000,0,,WBC
30/01/2018,1,,WBC
22/05/2020,1,,WBC
29/01/2005,2,,WBC
26/01/2008,2,,WBC
19/09/2009,2,,WBC
01/11/2013,2,,WBC
15/08/2019,2,,WBC
06/12/2018,3,,WBC
05/06/2020,3,,WBC
26/09/2004,4,,WBC
01/11/2004,4,,WBC
16/09/2005,4,,WBC
27/11/2012,4,,WBC
27/01/2007,5,,WBC
12/05/2004,6,,WBC
20/10/2004,7,,WBC
16/11/2011,7,,WBC
04/06/2005,12,,WBC
07/04/2020,13,,WBC
07/02/2020,14,,WBC
28/03/2005,18,,WBC
17/02/2015,20,,WBC
30/01/2011,26,,WBC
17/01/2015,27,,WBC
14/12/2013,28,,WBC
17/04/2004,34,,WBC
19/12/2014,34,,WBC
19/11/2005,45,,WBC
25/01/2009,47,,WBC
29/09/2015,63,,WBC
01/02/2004,69,,WBC
10/11/2014,72,,WBC
19/12/2004,73,,WBC
29/01/2006,87,,WBC
24/10/2014,110,,WBC
24/11/2015,299,,WBC
21/01/2001,0,,WBC
10/06/2004,0,,WBC
11/07/2004,0,,WBC
12/08/2004,0,,WBC
04/07/2009,0,,WBC
18/08/2009,0,,WBC
11/10/2009,0,,WBC
07/11/2009,0,,WBC
23/01/2010,0,,WBC
26/02/2010,0,,WBC
28/04/2010,0,,WBC
25/05/2010,0,,WBC
25/06/2010,0,,WBC
23/07/2010,0,,WBC
27/08/2010,0,,WBC
27/09/2010,0,,WBC
20/05/2011,0,,WBC
02/07/2011,0,,WBC
30/08/2011,0,,WBC
28/10/2011,0,,WBC
20/01/2012,0,,WBC
05/05/2012,0,,WBC
12/06/2012,0,,WBC
18/07/2012,0,,WBC
21/08/2012,0,,WBC
27/09/2012,0,,WBC
27/01/2013,0,,WBC
12/03/2013,0,,WBC
12/04/2013,0,,WBC
08/05/2013,0,,WBC
22/06/2013,0,,WBC
23/07/2013,0,,WBC
18/09/2013,0,,WBC
19/01/2014,0,,WBC
14/03/2014,0,,WBC
11/04/2014,0,,WBC
27/05/2014,0,,WBC
25/06/2014,0,,WBC
24/07/2014,0,,WBC
28/08/2014,0,,WBC
30/09/2014,0,,WBC
15/05/2015,0,,WBC
17/07/2015,0,,WBC
23/01/2016,0,,WBC
27/10/2016,0,,WBC
20/01/2017,0,,WBC
11/03/2017,0,,WBC
29/03/2018,0,,WBC
16/04/2018,0,,WBC
15/05/2018,0,,WBC
22/06/2018,0,,WBC
13/07/2018,0,,WBC
10/08/2018,0,,WBC
25/09/2018,0,,WBC
06/11/2018,0,,WBC
19/01/2019,0,,WBC
20/03/2019,0,,WBC
18/04/2019,0,,WBC
04/06/2019,0,,WBC
18/07/2019,0,,WBC
29/10/2019,0,,WBC
23/01/2020,0,,WBC
10/03/2020,0,,WBC
20/07/2020,0,,WBC
18/08/2020,0,,WBC
16/09/2020,0,,WBC
16/10/2020,0,,WBC
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
