SiteName,Region,Season,Date,Count
Lake St Lucia (KwaZulu-Natal),KZN,W,03/08/2007,3801
Lake St Lucia (KwaZulu-Natal),KZN,O,10/05/2007,3400
Lake St Lucia (KwaZulu-Natal),KZN,W,14/07/2008,1864
Strandfontein Sewage Works,WC,S,11/02/2001,1704
Strandfontein Sewage Works,WC,S,01/02/1998,1401
Lake St Lucia (KwaZulu-Natal),KZN,S,20/07/2009,1254
Lake St Lucia (KwaZulu-Natal),KZN,O,04/03/2010,1254
Lake St Lucia (KwaZulu-Natal),KZN,W,04/08/2010,1254
Strandfontein Sewage Works,WC,S,02/03/2003,1232
Strandfontein Sewage Works,WC,S,09/02/2003,1126
Lake St Lucia (KwaZulu-Natal),KZN,W,31/07/2012,1120
Lake St Lucia (KwaZulu-Natal),KZN,S,08/02/2018,1113
Strandfontein Sewage Works,WC,O,04/03/2001,1091
Strandfontein Sewage Works,WC,S,14/02/1999,1035
Lake St Lucia (KwaZulu-Natal),KZN,W,25/07/2006,1026
Wadrif Saltpan (Western Cape),WC,S,06/02/2014,969
Strandfontein Sewage Works,WC,O,15/12/1989,942
Lake St Lucia (KwaZulu-Natal),KZN,W,11/08/2003,924
Orange River: Mouth - Bridge (Northern Cape),NC,W,02/08/2001,891
Strandfontein Sewage Works,WC,O,15/01/1990,848
Strandfontein Sewage Works,WC,S,08/03/1998,845
Strandfontein Sewage Works,WC,S,14/03/1999,802
Wadrif Saltpan (Western Cape),WC,W,21/07/2009,791
Strandfontein Sewage Works,WC,S,15/02/1990,791
Strandfontein Sewage Works,WC,S,15/02/1991,755
Strandfontein Sewage Works,WC,O,13/02/2005,712
Strandfontein Sewage Works,WC,O,11/01/1998,705
Strandfontein Sewage Works,WC,O,11/04/1999,703
Strandfontein Sewage Works,WC,S,15/02/1988,698
Strandfontein Sewage Works,WC,S,14/01/2001,697
Strandfontein Sewage Works,WC,S,15/02/1985,684
Wadrif Saltpan (Western Cape),WC,S,21/01/2009,670
Strandfontein Sewage Works,WC,S,11/02/1995,662
Lake Chrissie (Mpumalanga),Mpum,O,17/12/1993,650
Strandfontein Sewage Works,WC,S,15/01/1993,649
Strandfontein Sewage Works,WC,O,13/12/1998,628
Strandfontein Sewage Works,WC,O,15/03/1993,601
Orange River: Mouth - Bridge (Northern Cape),NC,W,04/08/2005,590
